설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,그늘막유형,세부위치,설치년도,전체높이,펼침지름,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
화홍초등학교,경기도,수원시,경기도 수원시 팔달구 수성로258번길 70 (화서동),경기도 수원시 팔달구 화서동 7-1,37.28724566,127.0028824,접이식그늘막,화홍초등학교 정문,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
화양초교 후문,경기도,수원시,,경기도 수원시 팔달구 화서동 277-6,37.28362354,126.994645,접이식그늘막,화양초교 후문(화서동 277-6),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
지동,경기도,수원시,경기도 수원시 팔달구 중부대로 67 (지동),경기도 수원시 팔달구 지동 119-1,37.27715909,127.024503,접이식그늘막,지동사거리(지동초등학교 정문 앞),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
동수원,경기도,수원시,경기도 수원시 팔달구 경수대로 593 (지동),경기도 수원시 팔달구 지동 483-2,37.27869008,127.0305751,접이식그늘막,동수원사거리(북서쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
못골,경기도,수원시,경기도 수원시 팔달구 경수대로 665 (지동),경기도 수원시 팔달구 지동 472-14,37.28457006,127.027734,접이식그늘막,못골사거리,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
못골,경기도,수원시,경기도 수원시 팔달구 경수대로 665 (지동),경기도 수원시 팔달구 지동 472-14,37.28457006,127.027734,접이식그늘막,못골사거리교통섬,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
성빈센트병원,경기도,수원시,경기도 수원시 팔달구 중부대로 93 (지동),경기도 수원시 팔달구 지동 93-6,37.27792352,127.0274498,접이식그늘막,성빈센트병원,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
성빈센트병원 후문,경기도,수원시,,경기도 수원시 팔달구 지동 93-6,37.27792352,127.0274498,접이식그늘막,성빈센트병원 후문 입구,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
경기도여권민원실,경기도,수원시,경기도 수원시 팔달구 월드컵로 336 (우만동),경기도 수원시 팔달구 우만동 228,37.2881886,127.0334433,접이식그늘막,경기도여권민원실 앞 횡단보도,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
창룡문,경기도,수원시,경기도 수원시 팔달구 경수대로 722 (우만동),경기도 수원시 팔달구 우만동 598-19,37.2895229,127.0255877,접이식그늘막,창룡문사거리,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
동수원,경기도,수원시,경기도 수원시 팔달구 중부대로 141 (우만동),경기도 수원시 팔달구 우만동 562-6,37.2786591,127.0315415,접이식그늘막,동수원사거리(동북쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
보은삼거리,경기도,수원시,경기도 수원시 팔달구 월드컵로 365 (우만동),경기도 수원시 팔달구 우만동 479-13,37.28996632,127.0305319,접이식그늘막,보은삼거리 교통섬,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
월드컵경기장중앙광장,경기도,수원시,경기도 수원시 팔달구 월드컵로 319-1 (우만동),경기도 수원시 팔달구 우만동 518,37.28672019,127.0337146,접이식그늘막,월드컵경기장중앙광장앞건널목,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
선수촌삼거리,경기도,수원시,,경기도 수원시 팔달구 우만동 259,37.29088326,127.034137,접이식그늘막,선수촌삼거리교통섬,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
선수촌삼거리,경기도,수원시,,경기도 수원시 팔달구 우만동 259,37.29088326,127.034137,접이식그늘막,선수촌삼거리,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
우만초교,경기도,수원시,경기도 수원시 팔달구 창룡대로210번길 12 (우만동),경기도 수원시 팔달구 우만동 300-5,37.29208946,127.0327894,접이식그늘막,우만초교사거리(우만동 300-5 쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
동성중학교,경기도,수원시,,경기도 수원시 팔달구 우만동 201-5,37.2852792,127.0358156,접이식그늘막,동성중학교 건너편,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
월드컵 스포츠센터,경기도,수원시,,경기도 수원시 팔달구 우만동 256-1,37.28955331,127.0346821,접이식그늘막,월드컵 스포츠센터 앞,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
우만,경기도,수원시,경기도 수원시 팔달구 중부대로 191 (우만동),경기도 수원시 팔달구 우만동 141-6,37.27707509,127.0373567,접이식그늘막,우만사거리(신성미소지움아파트 쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
동성중삼거리,경기도,수원시,,경기도 수원시 팔달구 우만동 184-1,37.28370656,127.0367342,접이식그늘막,동성중삼거리(구치소 쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
동수원병원 주차장,경기도,수원시,,경기도 수원시 팔달구 우만동 150-15,37.27780439,127.0349869,접이식그늘막,동수원병원 주차장 앞,,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
인계,경기도,수원시,경기도 수원시 팔달구 인계로 91 (인계동),경기도 수원시 팔달구 인계동 951-10,37.26860488,127.0277749,접이식그늘막,인계사거리(북동쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
인계,경기도,수원시,경기도 수원시 팔달구 경수대로 472 (인계동),경기도 수원시 팔달구 인계동 1018,37.26805006,127.0275656,접이식그늘막,인계사거리(동남쪽),,,,경기도 수원시,,2025-04-30,3740000,경기도 수원시
