ADM_NM,total_household,single_household,single_household_ratio
장안구,114321,38793,0.3393339806334794
파장동,10556,3619,0.34283819628647216
율천동,18041,8025,0.4448201319217338
정자1동,12524,2874,0.2294793995528585
정자2동,15184,4321,0.2845758693361433
영화동,9140,4350,0.4759299781181619
송죽동,8053,3108,0.38594312678504905
조원1동,12360,4738,0.38333333333333336
연무동,8419,3877,0.46050599833709466
정자3동,13849,2850,0.2057910318434544
조원2동,6195,1031,0.16642453591606135
권선구,155236,54333,0.3500025767218944
세류1동,4176,1318,0.31561302681992337
세류2동,11199,5311,0.47423877131886777
세류3동,8300,3475,0.4186746987951807
평동,16314,4566,0.2798823096726738
서둔동,16482,6201,0.37622861303239896
구운동,9915,3586,0.36167423096318707
권선1동,13111,7366,0.5618183204942415
곡선동,16859,8182,0.4853194139628685
입북동,7939,2058,0.2592266028467061
권선2동,16488,3037,0.18419456574478407
금곡동,17789,5267,0.29608184833323964
호매실동,16664,3966,0.23799807969275083
팔달구,90276,38743,0.42916168195312154
지동,4686,2242,0.47844643619291505
우만1동,9715,5155,0.5306227483273289
우만2동,7508,3245,0.4322056473095365
인계동,22661,11572,0.5106570760337144
매교동,8901,2843,0.31940231434670263
매산동,5338,2927,0.5483327088797303
고등동,8432,2979,0.35329696394686905
화서1동,8848,2844,0.32142857142857145
화서2동,9124,1982,0.21722928540113984
행궁동,5063,2954,0.5834485482915268
영통구,148731,52242,0.35125158843818705
매탄1동,4854,1817,0.37433044911413266
매탄2동,6023,2349,0.39000498090652497
매탄3동,15105,6352,0.42052300562727574
매탄4동,8907,3457,0.38812170203210955
원천동,20643,9134,0.44247444654362256
광교1동,21909,8178,0.3732712583869643
광교2동,11252,2973,0.26421969427657305
영통1동,12006,2486,0.2070631350991171
영통2동,12632,6442,0.509974667511083
영통3동,13414,5485,0.40890114805427163
망포1동,10992,2130,0.1937772925764192
망포2동,10994,1439,0.13088957613243588
