RSTR_FCLTY_NO,RSTR_NM,RN_DTL_ADRES,ARCD,LO,LA,x_5179,y_5179,USE_PSBL_NMPR,FCLTY_TY
4111165,태산2차(아)경로당,"경기도 수원시 권선구  매송고색로691번길  9 , 태산2차아파트경로당 (고색동, 고색2차태산아파트)",4111355000,126.9799138,37.2514476,953877.4298714251,1917078.5567981908,14.0,3
4111164,태산1차(아)경로당,"경기도 수원시 권선구  매송고색로673번길  11 , 태산1차아파트경로당 (고색동, 고색1차태산아파트)",4111355000,126.9774569,37.2504993,953658.9633001708,1916974.5532000645,11.0,3
4111431,광교호반베르디움경로당,경기도 수원시 영통구  웰빙타운로  70   (이의동),4111760000,127.0439356,37.3070732,959584.8339827608,1923220.3526161942,66.0,3
4111322,고등촌경로당,경기도 수원시 팔달구 고등로72번길 20-8 (고등동),4111567000,127.0045817,37.2724478,956077.2542542596,1919396.5686097653,40.0,3
4111434,이편한세상광교경로당,"경기도 수원시 영통구  센트럴타운로  76   (이의동, 광교e편한세상)",4111760000,127.0545053,37.2918548,960513.541618859,1921527.5603149289,31.0,3
4111700142,영통아이파크캐슬2단지경로당,"경기도 수원시 영통구 덕영대로 1400 (망포동, 영통아이파크캐슬2단지)",4111759600,127.0428193,37.2432776,959451.7066929461,1916143.3871668829,38.0,3
4111700143,주공그린빌5단지경로당,"경기도 수원시 영통구 동탄원천로881번길 35 (매탄동, 주공그린빌)",4111753000,127.0410383,37.2548155,959299.9515106813,1917424.1532238522,20.0,3
4111432,호수마을32단지경로당,"경기도 수원시 영통구  광교중앙로  247 , 경로당 (하동)",4111761000,127.0656723,37.2941963,961504.5278194204,1921782.720939842,66.0,3
4111700121,광교해모로(아)경로당,"경기도 수원시 영통구 광교로 286 (이의동, 광교 해모로 아파트)",4111760000,127.0531404,37.3071964,960400.6069924687,1923230.1247882193,31.0,3
4111100104,대추골도서관,경기도 수원시 장안구 수일로 164 (조원동),4111159800,127.0082,37.3066,956417.7507280278,1923183.7324611372,350.0,1
4111300107,호매실도서관,경기도 수원시 권선구 칠보로 169 (호매실동),4111366400,126.9581,37.2667,951952.6004802112,1918781.5022170935,600.0,1
4111700145,광교대광로제비앙경로당,"경기도 수원시 영통구 웰빙타운로 106 (이의동, 광교대광로제비앙)",4111760000,127.0405555,37.3073564,959285.4498524873,1923253.2212708155,26.0,1
4111700117,영통아이파크캐슬1단지경로당,경기도 수원시 영통구 덕영대로 1410,4111759600,127.0444082,37.2424317,959592.1786880585,1916048.8647112574,21.0,3
4111471,늘푸른벽산(아)경로당,"경기도 수원시 영통구  영통로90번길  4-27  (망포동, 늘푸른 벽산아파트)",4111759300,127.0611963,37.2402128,961080.0333891422,1915795.6694463317,38.0,3
4111472,망포1차아이파크(아)경로당,"경기도 수원시 영통구  영통로200번길  20   (망포동, 망포마을 현대1차 아이파크)",4111759300,127.0570969,37.2440353,960718.4164825319,1916221.4256482478,11.0,1
4111473,우문경로당,경기도 수원시 영통구  영통로90번길  55   (망포동),4111759300,127.0586007,37.2394279,960849.4078516489,1915709.6638711996,29.0,1
4111474,망포쌍용(아)경로당,"경기도 수원시 영통구  영통로173번길  37   (망포동, 망포마을 쌍용아파트)",4111759600,127.0521935,37.2430216,960282.9939877207,1916111.0129284845,19.0,3
4111475,망포현대2차아이파크(아)경로당,"경기도 수원시 영통구 태장로 45 (망포동, 망포마을현대2차아이파크)",4111759600,127.0509517,37.2403437,960171.4461374431,1915814.451863417,37.0,3
4111467,영통래미안마크원2단지(아)경로당,"경기도 수원시 영통구 삼성로 11 (신동, 래미안 영통마크원 2단지)",4111758000,127.0461345,37.2466255,959747.5209221606,1916513.3843345458,54.0,3
4111468,영통e-편한세상아파트경로당,경기도 수원시 영통구 영통로200번길 239,4111758500,127.068176,37.245884,961701.9751794976,1916421.978367696,30.0,3
4111465,"신원,미주(아)경로당","경기도 수원시 영통구 매영로310번길 27 (영통동, 신원미주아파트)",4111758500,127.0671791,37.2521255,961616.7267798345,1917114.806519165,39.0,3
4111466,영통3차풍림아이원경로당,"경기도 수원시 영통구 봉영로1482번길 18 (영통동, 영통3차 풍림아이원아파트)",4111758500,127.0662725,37.2445929,961532.4986175151,1916279.517188596,18.0,3
4111500097,화서맨션경로당,"경기도 수원시 팔달구 화양로 42 (화서동, 화서맨션)",4111568000,126.9968006,37.2819773,955393.0172471992,1920457.40845836,33.0,3
4111500098,동말경로당,경기도 수원시 팔달구 동말로 24-6 (화서동),4111568000,126.9969293,37.2774997,955401.784284962,1919960.6043965786,24.0,3
