gid,sido_cd,sido_nm,sgg_nm,sgg_cd,pop_r,pop_w,pc_in,pc_out,type,bd_cnt,apt_cnt,dh_cnt,cp_cnt,wk_cnt
다사4919,31,경기도,수원시 권선구,31012,4371,1129,0.336607044547969,1.202679683311418,중심지Ⅰ,42.0,21.0,4.0,171.0,748.0
다사5117,31,경기도,수원시 권선구,31012,4095,610,0.198626647810652,1.325282951998504,중심지Ⅱ,75.0,51.0,2.0,100.0,432.0
다사5822,31,경기도,수원시 장안구,31011,7549,4785,1.510050949544094,1.65747942763161,중심지Ⅰ,705.0,120.0,438.0,466.0,3826.0
다사6120,31,경기도,수원시 영통구,31014,5924,1066,0.610532728926184,2.184089657897095,중심지Ⅰ,56.0,35.0,0.0,250.0,534.0
다사5924,31,경기도,수원시 영통구,31014,18,51,0.017094916409933,0.005254425800875,주변부,16.0,0.0,6.0,11.0,38.0
다사5523,31,경기도,수원시 장안구,31011,15089,8067,2.464924137584645,4.773937752639546,중심지Ⅰ,1482.0,358.0,771.0,2147.0,6616.0
다사6321,31,경기도,수원시 영통구,31014,2615,474,0.150598073135125,0.911934788996328,중심지Ⅱ,73.0,8.0,17.0,91.0,429.0
다사5417,31,경기도,수원시 권선구,31012,2356,6085,2.16820523132652,0.796337421377075,중심지Ⅰ,531.0,35.0,213.0,1087.0,6008.0
다사5219,31,경기도,수원시 권선구,31012,1978,1078,0.361028353705017,0.687745954825656,중심지Ⅰ,124.0,26.0,36.0,238.0,867.0
다사5120,31,경기도,수원시 권선구,31012,2721,547,0.151819138592978,0.852384629919743,중심지Ⅱ,39.0,15.0,7.0,118.0,332.0
다사5118,31,경기도,수원시 권선구,31012,15548,3054,0.889342675135807,4.934489652110732,중심지Ⅰ,376.0,190.0,65.0,677.0,2096.0
다사5724,31,경기도,수원시 장안구,31011,190,166,0.053726880145504,0.040867756229029,중심지Ⅲ-1,90.0,0.0,60.0,23.0,92.0
다사5819,31,경기도,수원시 팔달구,31013,16515,16937,5.725982953689034,5.544003045012246,중심지Ⅰ,611.0,159.0,144.0,1681.0,13786.0
다사6022,31,경기도,수원시 영통구,31014,1791,182,0.051284749229799,0.576819187918292,중심지Ⅱ,14.0,4.0,3.0,64.0,217.0
다사5320,31,경기도,수원시 권선구,31012,19450,6867,1.98056817263654,6.554020448958244,중심지Ⅰ,869.0,195.0,501.0,1479.0,4308.0
다사5722,31,경기도,수원시 장안구,31011,18002,5512,1.564184851508882,5.600050253554914,중심지Ⅰ,1005.0,280.0,575.0,973.0,3434.0
다사5416,31,경기도,수원시 권선구,31012,5279,8430,2.90776387696577,1.774244445428835,중심지Ⅰ,723.0,103.0,403.0,709.0,7490.0
다사5322,31,경기도,수원시 장안구,31011,21600,16414,5.084516566497258,5.657265112275554,중심지Ⅰ,998.0,164.0,570.0,1746.0,7058.0
다사6019,31,경기도,수원시 영통구,31014,14219,7438,2.433176435680484,4.779192178440422,중심지Ⅰ,714.0,86.0,478.0,1064.0,5051.0
다사5415,31,경기도,수원시 권선구,31012,18,6230,2.265890467954709,0.020433878114514,중심지Ⅲ-1,106.0,0.0,1.0,490.0,6444.0
다사5318,31,경기도,수원시 권선구,31012,3333,1921,0.611753794384036,1.093504391671013,중심지Ⅰ,236.0,73.0,41.0,724.0,1685.0
다사5720,31,경기도,수원시 팔달구,31013,9372,7897,2.548770632357174,3.079677344401811,중심지Ⅰ,2314.0,116.0,1567.0,1439.0,4779.0
다사5825,31,경기도,수원시 장안구,31011,5,1,0.000407021819284,0.002335300355945,주변부,2.0,0.0,2.0,0.0,0.0
다사5021,31,경기도,수원시 권선구,31012,8143,2238,0.569016503359203,2.969918227672419,중심지Ⅰ,262.0,108.0,32.0,642.0,1596.0
다사5019,31,경기도,수원시 권선구,31012,22315,4403,1.207226715996707,7.01991286996917,중심지Ⅰ,309.0,161.0,81.0,1231.0,3537.0
다사5622,31,경기도,수원시 장안구,31011,20562,11707,3.715702188244753,6.525413019597922,중심지Ⅰ,1292.0,325.0,705.0,2370.0,8892.0
