station_id,network,longitude,latitude,elevation_m,year,valid_tmax_days,valid_tmin_days,h02_mean_daily_max_c,h03_mean_daily_min_c,h04_heatwave_days,h05_tropical_nights,h06_wsdi_days,h07_annual_max_daily_max_c,h08_tx90p_days,h09_maximum_warm_spell_days,baseline_years,percentile_baseline_status,quality_status
90,ASOS,128.56473,38.25085,17.53,2021,358,0,17.006424581005582,,1,0,0,33,52,4,30,PASS,INSUFFICIENT_DAYS
90,ASOS,128.56473,38.25085,17.53,2022,358,0,16.697765363128493,,3,0,0,35.1,50,4,30,PASS,INSUFFICIENT_DAYS
90,ASOS,128.56473,38.25085,17.53,2023,356,0,17.477528089887635,,11,0,0,36.2,62,5,30,PASS,INSUFFICIENT_DAYS
90,ASOS,128.56473,38.25085,17.53,2024,359,0,17.673537604456833,,12,0,0,35.1,75,5,30,PASS,INSUFFICIENT_DAYS
90,ASOS,128.56473,38.25085,17.53,2025,358,0,17.449720670391063,,8,0,14,34.4,75,8,30,PASS,INSUFFICIENT_DAYS
93,ASOS,127.75443,37.94738,95.78,2021,358,0,17.758659217877092,,17,0,,36.4,,,4,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
93,ASOS,127.75443,37.94738,95.78,2022,358,0,17.29720670391062,,11,0,,35.1,,,4,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
93,ASOS,127.75443,37.94738,95.78,2023,358,0,18.004748603351963,,21,0,,34.7,,,4,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
93,ASOS,127.75443,37.94738,95.78,2024,359,0,18.827855153203338,,25,0,,36.1,,,4,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
93,ASOS,127.75443,37.94738,95.78,2025,358,0,17.77849162011173,,22,0,,37,,,4,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
95,ASOS,127.3042,38.14787,155.48,2021,358,0,17.19832402234637,,11,0,23,35.2,77,9,30,PASS,INSUFFICIENT_DAYS
95,ASOS,127.3042,38.14787,155.48,2022,358,0,16.47513966480448,,2,0,0,34,44,5,30,PASS,INSUFFICIENT_DAYS
95,ASOS,127.3042,38.14787,155.48,2023,358,0,17.244692737430178,,3,0,20,33,69,8,30,PASS,INSUFFICIENT_DAYS
95,ASOS,127.3042,38.14787,155.48,2024,359,0,18.050417827298055,,18,0,19,35.6,98,11,30,PASS,INSUFFICIENT_DAYS
95,ASOS,127.3042,38.14787,155.48,2025,358,0,16.9304469273743,,11,0,18,35.3,63,6,30,PASS,INSUFFICIENT_DAYS
98,ASOS,127.0607,37.90188,115.62,2021,358,0,17.937430167597768,,10,0,,35.7,,,23,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
98,ASOS,127.0607,37.90188,115.62,2022,358,0,17.39385474860335,,4,0,,34.2,,,23,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
98,ASOS,127.0607,37.90188,115.62,2023,358,0,18.045251396648048,,5,0,,33.7,,,23,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
98,ASOS,127.0607,37.90188,115.62,2024,356,0,18.656460674157316,,10,0,,34.8,,,23,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
98,ASOS,127.0607,37.90188,115.62,2025,357,0,17.709803921568625,,13,0,,35.5,,,23,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
99,ASOS,126.76648,37.88589,30.59,2021,358,0,17.53631284916201,,10,0,,34.7,,,19,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
99,ASOS,126.76648,37.88589,30.59,2022,358,0,16.76787709497208,,2,0,,33.3,,,19,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
99,ASOS,126.76648,37.88589,30.59,2023,358,0,17.500279329608933,,2,0,,33.1,,,19,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
