station_id,longitude,latitude,elevation_m,year,valid_days,heatwave_days,valid_nights,tropical_nights,wsdi_days,maximum_warm_spell_days
90,128.56473,38.25085,17.53,2021,358,1,351,7,0,3
90,128.56473,38.25085,17.53,2022,358,3,351,8,0,2
90,128.56473,38.25085,17.53,2023,356,11,349,11,0,5
90,128.56473,38.25085,17.53,2024,359,12,352,25,0,3
90,128.56473,38.25085,17.53,2025,358,8,351,24,0,2
93,127.75443,37.94738,95.78,2021,358,17,351,0,0,4
93,127.75443,37.94738,95.78,2022,358,11,351,4,0,4
93,127.75443,37.94738,95.78,2023,358,21,351,5,0,4
93,127.75443,37.94738,95.78,2024,359,25,352,14,0,4
93,127.75443,37.94738,95.78,2025,358,22,351,5,0,3
95,127.3042,38.14787,155.48,2021,358,11,351,0,0,3
95,127.3042,38.14787,155.48,2022,358,2,351,4,0,2
95,127.3042,38.14787,155.48,2023,358,3,351,0,0,4
95,127.3042,38.14787,155.48,2024,359,18,352,7,0,3
95,127.3042,38.14787,155.48,2025,358,11,351,3,0,3
98,127.0607,37.90188,115.62,2021,358,10,351,1,0,3
98,127.0607,37.90188,115.62,2022,358,4,350,6,0,3
98,127.0607,37.90188,115.62,2023,358,5,351,4,0,4
98,127.0607,37.90188,115.62,2024,356,10,350,19,0,4
98,127.0607,37.90188,115.62,2025,357,13,350,7,0,2
99,126.76648,37.88589,30.59,2021,358,10,351,0,0,3
99,126.76648,37.88589,30.59,2022,358,2,351,5,0,3
99,126.76648,37.88589,30.59,2023,358,2,351,0,0,3
99,126.76648,37.88589,30.59,2024,358,14,350,13,0,5
99,126.76648,37.88589,30.59,2025,357,10,350,4,0,2
100,128.71834,37.67713,772.43,2021,358,0,351,0,0,3
100,128.71834,37.67713,772.43,2022,358,0,351,0,0,3
100,128.71834,37.67713,772.43,2023,358,0,351,0,0,5
100,128.71834,37.67713,772.43,2024,359,0,352,0,0,4
100,128.71834,37.67713,772.43,2025,352,0,346,0,6,6
101,127.7357,37.90262,75.82,2021,358,20,351,7,0,4
101,127.7357,37.90262,75.82,2022,358,11,351,14,0,3
101,127.7357,37.90262,75.82,2023,358,18,351,2,0,4
101,127.7357,37.90262,75.82,2024,356,23,350,20,0,4
101,127.7357,37.90262,75.82,2025,355,25,349,6,0,3
102,124.71237,37.97396,36,2021,358,0,351,0,0,3
102,124.71237,37.97396,36,2022,358,0,351,3,0,1
102,124.71237,37.97396,36,2023,358,0,351,0,0,2
102,124.71237,37.97396,36,2024,359,0,352,12,0,3
102,124.71237,37.97396,36,2025,358,0,351,6,0,5
104,128.85535,37.80456,75.24,2021,358,1,351,1,0,3
104,128.85535,37.80456,75.24,2022,358,5,351,9,0,3
104,128.85535,37.80456,75.24,2023,358,6,351,10,0,5
104,128.85535,37.80456,75.24,2024,359,11,352,23,0,3
104,128.85535,37.80456,75.24,2025,358,26,351,25,0,3
105,128.89099,37.75147,27.12,2021,358,9,351,11,0,3
105,128.89099,37.75147,27.12,2022,358,12,350,26,0,3
105,128.89099,37.75147,27.12,2023,358,19,351,21,0,5
105,128.89099,37.75147,27.12,2024,358,26,351,36,0,2
105,128.89099,37.75147,27.12,2025,358,38,351,40,0,3
106,129.12433,37.50709,40.46,2021,358,0,351,3,0,2
106,129.12433,37.50709,40.46,2022,358,3,350,7,0,2
106,129.12433,37.50709,40.46,2023,358,7,351,7,0,4
106,129.12433,37.50709,40.46,2024,357,13,350,24,0,3
106,129.12433,37.50709,40.46,2025,358,11,351,28,0,2
108,126.9658,37.57142,85.67,2021,358,17,351,19,0,3
108,126.9658,37.57142,85.67,2022,358,8,351,23,0,3
108,126.9658,37.57142,85.67,2023,358,15,351,24,0,4
108,126.9658,37.57142,85.67,2024,359,27,352,48,0,4
108,126.9658,37.57142,85.67,2025,358,25,351,44,0,3
112,126.6249,37.47772,68.99,2021,358,7,351,21,0,3
112,126.6249,37.47772,68.99,2022,358,2,351,14,0,2
112,126.6249,37.47772,68.99,2023,358,3,351,20,0,4
112,126.6249,37.47772,68.99,2024,359,10,352,46,6,6
112,126.6249,37.47772,68.99,2025,358,11,351,39,0,3
114,127.94659,37.33749,150.11,2021,358,14,351,3,0,3
114,127.94659,37.33749,150.11,2022,358,5,351,12,0,4
114,127.94659,37.33749,150.11,2023,358,10,350,11,0,4
114,127.94659,37.33749,150.11,2024,359,20,352,31,0,5
114,127.94659,37.33749,150.11,2025,358,23,351,20,0,3
115,130.89863,37.48129,221.14,2021,356,0,349,6,0,2
115,130.89863,37.48129,221.14,2022,358,0,351,11,0,2
115,130.89863,37.48129,221.14,2023,358,1,351,21,0,4
115,130.89863,37.48129,221.14,2024,359,2,352,32,0,3
115,130.89863,37.48129,221.14,2025,358,1,351,38,0,4
119,126.983,37.25746,39.81,2021,358,15,351,16,0,4
119,126.983,37.25746,39.81,2022,358,7,351,17,0,3
119,126.983,37.25746,39.81,2023,358,14,351,9,0,4
119,126.983,37.25746,39.81,2024,359,23,352,31,0,4
119,126.983,37.25746,39.81,2025,358,16,351,24,0,3
121,128.45743,37.18126,240.54,2021,358,14,351,0,0,4
121,128.45743,37.18126,240.54,2022,358,7,350,1,0,3
121,128.45743,37.18126,240.54,2023,358,11,351,0,0,5
121,128.45743,37.18126,240.54,2024,359,20,352,2,0,4
121,128.45743,37.18126,240.54,2025,358,23,351,0,0,4
127,127.9525,36.97045,114.85,2021,358,15,351,1,0,3
127,127.9525,36.97045,114.85,2022,358,8,351,9,0,4
127,127.9525,36.97045,114.85,2023,358,14,351,5,0,4
127,127.9525,36.97045,114.85,2024,359,29,352,17,0,4
127,127.9525,36.97045,114.85,2025,354,25,349,7,0,3
129,126.4939,36.77658,25.25,2021,358,15,351,1,0,3
129,126.4939,36.77658,25.25,2022,358,6,351,12,0,3
129,126.4939,36.77658,25.25,2023,358,10,351,7,6,6
129,126.4939,36.77658,25.25,2024,359,20,352,33,6,6
129,126.4939,36.77658,25.25,2025,358,15,351,20,0,5
130,129.41278,36.99176,48.98,2021,358,0,351,3,0,2
130,129.41278,36.99176,48.98,2022,358,5,351,7,0,3
130,129.41278,36.99176,48.98,2023,358,4,351,8,0,4
130,129.41278,36.99176,48.98,2024,359,12,352,21,0,2
130,129.41278,36.99176,48.98,2025,358,13,351,19,0,4
131,127.44066,36.63924,58.7,2021,358,20,351,18,0,4
131,127.44066,36.63924,58.7,2022,358,18,351,24,0,4
131,127.44066,36.63924,58.7,2023,358,21,351,30,0,4
131,127.44066,36.63924,58.7,2024,358,40,351,50,0,5
131,127.44066,36.63924,58.7,2025,358,40,351,44,0,4
133,127.3721,36.37199,67.79,2021,358,20,351,14,0,4
133,127.3721,36.37199,67.79,2022,358,14,351,18,0,3
133,127.3721,36.37199,67.79,2023,358,17,351,8,6,6
133,127.3721,36.37199,67.79,2024,359,38,352,39,0,4
133,127.3721,36.37199,67.79,2025,358,36,351,32,0,2
135,127.99458,36.22025,244.98,2021,358,2,351,0,0,4
135,127.99458,36.22025,244.98,2022,358,6,351,1,0,4
135,127.99458,36.22025,244.98,2023,358,4,351,1,0,5
135,127.99458,36.22025,244.98,2024,359,11,352,6,0,3
135,127.99458,36.22025,244.98,2025,358,11,351,0,0,3
136,128.70733,36.57293,141.26,2021,358,14,351,1,0,4
136,128.70733,36.57293,141.26,2022,358,15,351,9,0,4
136,128.70733,36.57293,141.26,2023,358,16,351,6,0,4
136,128.70733,36.57293,141.26,2024,359,35,352,16,0,4
136,128.70733,36.57293,141.26,2025,358,37,351,8,0,2
137,128.15741,36.40837,96.58,2021,358,14,351,0,0,5
137,128.15741,36.40837,96.58,2022,358,18,351,10,0,4
137,128.15741,36.40837,96.58,2023,358,16,351,7,0,3
137,128.15741,36.40837,96.58,2024,359,36,352,17,0,5
137,128.15741,36.40837,96.58,2025,358,34,351,14,0,3
138,129.38002,36.03201,3.94,2021,358,9,351,21,0,3
138,129.38002,36.03201,3.94,2022,358,21,351,27,0,3
138,129.38002,36.03201,3.94,2023,358,19,351,22,0,5
138,129.38002,36.03201,3.94,2024,359,25,352,46,0,3
138,129.38002,36.03201,3.94,2025,358,40,351,44,0,4
140,126.76135,36.0053,27.85,2021,357,7,351,3,0,4
140,126.76135,36.0053,27.85,2022,355,5,348,18,0,3
140,126.76135,36.0053,27.85,2023,358,10,351,11,0,3
140,126.76135,36.0053,27.85,2024,359,22,352,37,0,4
140,126.76135,36.0053,27.85,2025,358,14,351,20,0,3
143,128.65296,35.87797,54.27,2021,358,18,351,7,0,3
143,128.65296,35.87797,54.27,2022,358,32,351,29,0,2
143,128.65296,35.87797,54.27,2023,358,21,351,13,0,4
143,128.65296,35.87797,54.27,2024,359,50,352,35,0,3
143,128.65296,35.87797,54.27,2025,358,46,351,25,0,3
146,127.11718,35.84092,60.44,2021,358,15,351,12,0,3
146,127.11718,35.84092,60.44,2022,358,8,351,24,0,3
146,127.11718,35.84092,60.44,2023,358,15,351,21,0,4
146,127.11718,35.84092,60.44,2024,359,32,352,45,0,3
146,127.11718,35.84092,60.44,2025,358,42,351,38,6,6
152,129.33469,35.58237,81.14,2021,358,3,351,3,0,2
152,129.33469,35.58237,81.14,2022,358,8,351,20,0,3
152,129.33469,35.58237,81.14,2023,358,2,351,7,0,5
152,129.33469,35.58237,81.14,2024,359,14,352,22,0,4
152,129.33469,35.58237,81.14,2025,358,24,351,19,0,3
155,128.57282,35.17019,34.97,2021,358,6,351,13,0,3
155,128.57282,35.17019,34.97,2022,358,8,351,20,0,2
155,128.57282,35.17019,34.97,2023,358,11,351,22,0,4
155,128.57282,35.17019,34.97,2024,359,36,352,56,0,3
155,128.57282,35.17019,34.97,2025,358,25,351,32,0,3
156,126.89156,35.17294,70.28,2021,358,11,351,12,0,3
156,126.89156,35.17294,70.28,2022,358,9,351,28,0,3
156,126.89156,35.17294,70.28,2023,358,14,351,17,0,4
156,126.89156,35.17294,70.28,2024,359,26,352,37,0,4
156,126.89156,35.17294,70.28,2025,358,35,351,35,0,4
159,129.03203,35.10468,69.56,2021,358,1,351,24,0,3
159,129.03203,35.10468,69.56,2022,358,1,351,24,0,2
