grid_id,gid,lbl,centroid_x,centroid_y,row,col
1,다사573281,,957350.0,1928150.0,0,82
2,다사574281,,957450.0,1928150.0,0,83
3,다사571280,,957150.0,1928050.0,1,80
4,다사572280,,957250.0,1928050.0,1,81
5,다사573280,,957350.0,1928050.0,1,82
6,다사574280,,957450.0,1928050.0,1,83
7,다사575280,,957550.0,1928050.0,1,84
8,다사576280,,957650.0,1928050.0,1,85
9,다사569279,,956950.0,1927950.0,2,78
10,다사570279,,957050.0,1927950.0,2,79
11,다사571279,,957150.0,1927950.0,2,80
12,다사572279,,957250.0,1927950.0,2,81
13,다사573279,,957350.0,1927950.0,2,82
14,다사574279,,957450.0,1927950.0,2,83
15,다사575279,,957550.0,1927950.0,2,84
16,다사576279,,957650.0,1927950.0,2,85
17,다사577279,,957750.0,1927950.0,2,86
18,다사578279,,957850.0,1927950.0,2,87
19,다사569278,,956950.0,1927850.0,3,78
20,다사570278,,957050.0,1927850.0,3,79
21,다사571278,,957150.0,1927850.0,3,80
22,다사572278,,957250.0,1927850.0,3,81
23,다사573278,,957350.0,1927850.0,3,82
24,다사574278,,957450.0,1927850.0,3,83
25,다사575278,,957550.0,1927850.0,3,84
26,다사576278,,957650.0,1927850.0,3,85
27,다사577278,,957750.0,1927850.0,3,86
28,다사578278,,957850.0,1927850.0,3,87
29,다사579278,,957950.0,1927850.0,3,88
30,다사580278,,958050.0,1927850.0,3,89
31,다사568277,,956850.0,1927750.0,4,77
32,다사569277,,956950.0,1927750.0,4,78
33,다사570277,,957050.0,1927750.0,4,79
34,다사571277,,957150.0,1927750.0,4,80
35,다사572277,,957250.0,1927750.0,4,81
36,다사573277,,957350.0,1927750.0,4,82
37,다사574277,,957450.0,1927750.0,4,83
38,다사575277,,957550.0,1927750.0,4,84
39,다사576277,,957650.0,1927750.0,4,85
40,다사577277,,957750.0,1927750.0,4,86
41,다사578277,,957850.0,1927750.0,4,87
42,다사579277,,957950.0,1927750.0,4,88
43,다사580277,,958050.0,1927750.0,4,89
44,다사581277,,958150.0,1927750.0,4,90
45,다사582277,,958250.0,1927750.0,4,91
46,다사568276,,956850.0,1927650.0,5,77
47,다사569276,,956950.0,1927650.0,5,78
48,다사570276,,957050.0,1927650.0,5,79
49,다사571276,,957150.0,1927650.0,5,80
50,다사572276,,957250.0,1927650.0,5,81
51,다사573276,,957350.0,1927650.0,5,82
52,다사574276,,957450.0,1927650.0,5,83
53,다사575276,,957550.0,1927650.0,5,84
54,다사576276,,957650.0,1927650.0,5,85
55,다사577276,,957750.0,1927650.0,5,86
56,다사578276,,957850.0,1927650.0,5,87
57,다사579276,,957950.0,1927650.0,5,88
58,다사580276,,958050.0,1927650.0,5,89
59,다사581276,,958150.0,1927650.0,5,90
60,다사582276,,958250.0,1927650.0,5,91
61,다사583276,,958350.0,1927650.0,5,92
62,다사568275,,956850.0,1927550.0,6,77
63,다사569275,,956950.0,1927550.0,6,78
64,다사570275,,957050.0,1927550.0,6,79
65,다사571275,,957150.0,1927550.0,6,80
66,다사572275,,957250.0,1927550.0,6,81
67,다사573275,,957350.0,1927550.0,6,82
