SIG_CD,Sido,SIG_KOR_NM,한국이름,center_lon,center_lat,solar_09_kst,solar_12_kst,solar_15_kst,solar_day_mean_09_12_15,n_cells,radius_m,method,status,nearest_row,nearest_col,nearest_dist_m,window_cells
51110,강원특별자치도,강원특별자치도 춘천시,춘천시,127.739868166,37.889796786,231.4326629638672,581.8377685546875,484.8513488769531,432.70726013183594,313,1000.0,centroid_radius_mean,ok,5851,3060,10.793354583647966,120
51130,강원특별자치도,강원특별자치도 원주시,원주시,127.929525057,37.308222876,249.828125,586.8760375976562,488.7624816894531,441.8222147623698,312,1000.0,centroid_radius_mean,ok,5206,3233,35.963715258956725,120
51150,강원특별자치도,강원특별자치도 강릉시,강릉시,128.832378153,37.709101668,260.5811767578125,547.7761840820312,428.5987243652344,412.3186950683594,311,1000.0,centroid_radius_mean,ok,5664,4022,32.8125015549961,120
51170,강원특별자치도,강원특별자치도 동해시,동해시,129.055626985,37.50671999,258.4656677246094,565.5048828125,445.48345947265625,423.1513366699219,309,1000.0,centroid_radius_mean,ok,5443,4223,19.797487808741526,120
51190,강원특별자치도,강원특별자치도 태백시,태백시,128.980072335,37.172312408,290.5226135253906,595.1017456054688,463.09521484375,449.5731913248698,312,1000.0,centroid_radius_mean,ok,5070,4165,44.9622994599499,120
51210,강원특별자치도,강원특별자치도 속초시,속초시,128.51948148,38.176007541,251.2330780029297,528.2161865234375,425.3641662597656,401.60447692871094,314,1000.0,centroid_radius_mean,ok,6177,3738,59.100118370320025,120
51230,강원특별자치도,강원특별자치도 삼척시,삼척시,129.121883086,37.277448677,246.6508026123047,564.9635009765625,435.49566650390625,415.7033233642578,317,1000.0,centroid_radius_mean,ok,5190,4287,55.17034703355896,120
51720,강원특별자치도,강원특별자치도 홍천군,홍천군,128.061413054,37.773366545,238.14437866210938,582.795654296875,477.4050598144531,432.7816975911458,314,1000.0,centroid_radius_mean,ok,5724,3344,62.62297473681856,120
51730,강원특별자치도,강원특별자치도 횡성군,횡성군,128.077067122,37.50914207,247.11949157714844,581.1488647460938,478.61590576171875,435.6280873616536,311,1000.0,centroid_radius_mean,ok,5431,3361,24.781076383613815,120
51750,강원특별자치도,강원특별자치도 영월군,영월군,128.500295757,37.204113613,246.51332092285156,586.0146484375,463.4120788574219,431.9800160725911,316,1000.0,centroid_radius_mean,ok,5097,3739,45.656227695905045,120
51760,강원특별자치도,강원특별자치도 평창군,평창군,128.482589711,37.556839208,245.45692443847656,588.5057373046875,469.52001953125,434.4942270914714,310,1000.0,centroid_radius_mean,ok,5489,3717,28.272825051091747,120
51770,강원특별자치도,강원특별자치도 정선군,정선군,128.739062886,37.378686291,248.23092651367188,580.3553466796875,450.2022399902344,426.26283772786456,313,1000.0,centroid_radius_mean,ok,5295,3947,10.821746384940008,120
51780,강원특별자치도,강원특별자치도 철원군,철원군,127.396933213,38.238206369,236.74575805664062,577.5411376953125,486.56573486328125,433.61754353841144,315,1000.0,centroid_radius_mean,ok,6236,2758,42.08577131103254,120
51790,강원특별자치도,강원특별자치도 화천군,화천군,127.685165431,38.138426285,232.6918182373047,573.292236328125,475.5310363769531,427.17169698079425,313,1000.0,centroid_radius_mean,ok,6127,3010,14.644249478989794,120
51800,강원특별자치도,강원특별자치도 양구군,양구군,128.00009509,38.175230768,250.18142700195312,584.61328125,479.2113037109375,438.0020039876302,315,1000.0,centroid_radius_mean,ok,6170,3285,36.975253801285305,120
51810,강원특별자치도,강원특별자치도 인제군,인제군,128.264726875,38.06460026,246.81686401367188,568.0872192382812,461.2898864746094,425.3979899088542,315,1000.0,centroid_radius_mean,ok,6050,3518,43.051226300638916,120
51820,강원특별자치도,강원특별자치도 고성군,고성군,128.411680395,38.361379473,255.52403259277344,542.0673217773438,440.7012634277344,412.7642059326172,312,1000.0,centroid_radius_mean,ok,6382,3641,21.840413766242296,120
51830,강원특별자치도,강원특별자치도 양양군,양양군,128.595094521,38.004508984,243.72091674804688,539.1328125,436.66217041015625,406.5052998860677,311,1000.0,centroid_radius_mean,ok,5988,3808,19.94147439965332,120
41110,경기도,경기도 수원시,수원시,127.0140437375,37.28174340525,242.74839782714844,585.8556518554688,514.4547729492188,447.686274210612,313,1000.0,centroid_radius_mean,ok,5173,2424,38.85635842139465,120
41111,경기도,경기도 수원시 장안구,수원시 장안구,127.003451706,37.313965699,245.890625,589.3319091796875,514.8590698242188,450.02720133463544,314,1000.0,centroid_radius_mean,ok,5208,2415,58.839770107096676,120
41113,경기도,경기도 수원시 권선구,수원시 권선구,126.979758331,37.260524759,243.4293670654297,588.4876098632812,517.2528686523438,449.72328186035156,313,1000.0,centroid_radius_mean,ok,5149,2394,35.98642286938753,120
41115,경기도,경기도 수원시 팔달구,수원시 팔달구,127.016237067,37.277464461,242.540771484375,585.624267578125,514.35986328125,447.50830078125,312,1000.0,centroid_radius_mean,ok,5168,2426,18.230302008232957,120
41117,경기도,경기도 수원시 영통구,수원시 영통구,127.056727846,37.275018702,244.0719757080078,586.2927856445312,512.584716796875,447.6498260498047,314,1000.0,centroid_radius_mean,ok,5165,2462,34.061264302593976,120
41130,경기도,경기도 성남시,성남시,127.124706117667,37.415967146333,248.0025634765625,586.5390625,507.3985595703125,447.3133951822917,317,1000.0,centroid_radius_mean,ok,5322,2522,48.33180956390911,120
41131,경기도,경기도 성남시 수정구,성남시 수정구,127.104144983,37.435166644,247.08013916015625,587.2822265625,513.3663940429688,449.242919921875,315,1000.0,centroid_radius_mean,ok,5343,2503,42.00112821934541,120
41133,경기도,경기도 성남시 중원구,성남시 중원구,127.163909636,37.433433231,243.7476348876953,583.0428466796875,501.3061218261719,442.69886779785156,313,1000.0,centroid_radius_mean,ok,5341,2556,33.77641485290113,120
41135,경기도,경기도 성남시 분당구,성남시 분당구,127.106063734,37.379301564,246.04637145996094,584.580322265625,510.2383728027344,446.95502217610675,312,1000.0,centroid_radius_mean,ok,5281,2505,19.18017616499632,120
41150,경기도,경기도 의정부시,의정부시,127.068422804,37.736192108,241.24859619140625,580.8511352539062,499.61932373046875,440.57301839192706,313,1000.0,centroid_radius_mean,ok,5678,2471,63.76237979965535,120
41170,경기도,경기도 안양시,안양시,126.933442794,37.4022531615,242.88836669921875,584.7806396484375,514.4330444335938,447.3673502604167,315,1000.0,centroid_radius_mean,ok,5307,2353,55.24747716805531,120
41171,경기도,경기도 안양시 만안구,안양시 만안구,126.911382955,37.404116263,240.8760528564453,585.954345703125,519.9834594726562,448.9379526774089,317,1000.0,centroid_radius_mean,ok,5309,2333,49.25103565009277,120
