"SIG_CD","region_name","solar_altitude_meridian_deg","solar_altitude_09_deg","solar_altitude_12_deg","solar_altitude_15_deg","observations"
"11110","종로구","71.640145","39.831594","70.016014","53.488478","460"
"11140","중구","71.640145","39.831594","70.016014","53.488478","460"
"11170","용산구","71.640145","39.831594","70.016014","53.488478","460"
"11200","성동구","71.640145","39.831594","70.016014","53.488478","460"
"11215","광진구","71.623406","39.854928","70.021667","53.464167","460"
"11230","동대문구","71.634457","39.854928","70.021667","53.464167","460"
"11260","중랑구","71.623406","39.854928","70.021667","53.464167","460"
"11290","성북구","71.640145","39.831594","70.016014","53.488478","460"
"11305","강북구","71.640145","39.831594","70.016014","53.488478","460"
"11320","도봉구","71.537101","39.836848","69.989239","53.468514","460"
"11350","노원구","71.623406","39.854928","70.021667","53.464167","460"
"11380","은평구","71.641341","39.825507","70.013804","53.494058","460"
"11410","서대문구","71.641341","39.825507","70.013804","53.494058","460"
"11440","마포구","71.641341","39.825507","70.013804","53.494058","460"
"11470","양천구","71.692464","39.815145","70.023732","53.511268","460"
"11500","강서구","71.584891","39.806848","69.98942","53.503949","460"
"11530","구로구","71.692464","39.815145","70.023732","53.511268","460"
"11545","금천구","71.692464","39.815145","70.023732","53.511268","460"
"11560","영등포구","71.641341","39.825507","70.013804","53.494058","460"
"11590","동작구","71.641341","39.825507","70.013804","53.494058","460"
"11620","관악구","71.731594","39.833623","70.043225","53.499457","460"
"11650","서초구","71.721848","39.835688","70.041232","53.496486","460"
"11680","강남구","71.723986","39.857464","70.052464","53.476051","460"
"11710","송파구","71.692826","39.854928","70.021667","53.464167","460"
"11740","강동구","71.623406","39.854928","70.021667","53.464167","460"
"26110","중구","74.030833","40.967391","71.738406","52.952899","460"
"26140","서구","74.030833","40.967391","71.738406","52.952899","460"
"26170","동구","74.030833","40.967391","71.738406","52.952899","460"
"26200","영도구","74.030833","40.967391","71.738406","52.952899","460"
"26230","부산진구","74.030833","40.967391","71.738406","52.952899","460"
"26260","동래구","74.030833","40.967391","71.738406","52.952899","460"
"26290","남구","74.030833","40.967391","71.738406","52.952899","460"
"26320","북구","74.030833","40.967391","71.738406","52.952899","460"
"26350","해운대구","74.018297","40.990217","71.736087","52.926558","460"
"26380","사하구","74.030833","40.967391","71.738406","52.952899","460"
"26410","금정구","74.030833","40.967391","71.738406","52.952899","460"
"26440","강서구","74.001449","40.936377","71.717428","52.979529","460"
"26470","연제구","74.030833","40.967391","71.738406","52.952899","460"
"26500","수영구","74.030833","40.967391","71.738406","52.952899","460"
"26530","사상구","74.030833","40.967391","71.738406","52.952899","460"
"26710","기장군","73.992935","40.990217","71.736087","52.926558","460"
"27110","중구","73.335688","40.696812","71.262319","53.067138","460"
"27140","동구","73.354312","40.696812","71.262319","53.067138","460"
"27170","서구","73.335688","40.696812","71.262319","53.067138","460"
"27200","남구","73.335688","40.696812","71.262319","53.067138","460"
"27230","북구","73.335688","40.696812","71.262319","53.067138","460"
"27260","수성구","73.363551","40.719964","71.280145","53.04779","460"
"27290","달서구","73.335688","40.696812","71.262319","53.067138","460"
"27710","달성군","73.39413","40.671051","71.268623","53.098768","460"
"28110","중구","71.711848","39.780145","70.013188","53.547428","460"
"28140","동구","71.711848","39.780145","70.013188","53.547428","460"
"28177","미추홀구","71.710181","39.790543","70.016413","53.536413","460"
"28185","연수구","71.711848","39.780145","70.013188","53.547428","460"
"28200","남동구","71.701775","39.794746","70.014348","53.530471","460"
"28237","부평구","71.67779","39.799312","70.01221","53.524384","460"
"28245","계양구","71.633225","39.799312","70.01221","53.524384","460"
"28260","서구","71.678225","39.789275","69.988877","53.52413","460"
"28710","강화군","71.531957","39.751196","69.949094","53.548768","460"
"28720","옹진군","71.395181","39.469819","69.773152","53.790688","460"
"29110","동구","74.103841","39.904674","71.282138","53.985471","460"
"29140","서구","74.046232","39.881594","71.254783","54.000906","460"
"29155","남구","74.046232","39.881594","71.254783","54.000906","460"
"29170","북구","74.046232","39.881594","71.254783","54.000906","460"
"29200","광산구","74.046232","39.881594","71.254783","54.000906","460"
"30110","동구","72.883768","40.120797","70.77529","53.515326","460"
"30140","중구","72.85721","40.089891","70.753732","53.540978","460"
"30170","서구","72.85721","40.089891","70.753732","53.540978","460"
"30200","유성구","72.827717","40.087862","70.744384","53.539819","460"
"30230","대덕구","72.827717","40.087862","70.744384","53.539819","460"
"31110","중구","73.815","40.999022","71.687246","52.897464","460"
"31140","남구","73.815","40.999022","71.687246","52.897464","460"
"31170","동구","73.815","40.999022","71.687246","52.897464","460"
"31200","북구","73.815","40.999022","71.687246","52.897464","460"
"31710","울주군","73.811377","40.988949","71.682065","52.906739","460"
"36110","세종특별자치시","72.779094","40.072609","70.723659","53.547681","460"
"41111","수원시 장안구","71.772717","39.834167","70.054674","53.504674","460"
"41113","수원시 권선구","71.821848","39.845217","70.073841","53.501159","460"
"41115","수원시 팔달구","71.821848","39.845217","70.073841","53.501159","460"
"41117","수원시 영통구","71.821848","39.845217","70.073841","53.501159","460"
"41131","성남시 수정구","71.72779","39.857464","70.052464","53.476051","460"
"41133","성남시 중원구","71.72779","39.857464","70.052464","53.476051","460"
